Title,Authors,Link
Mice in Bion-M 1 Space Mission: Training and Selection,"Alexander Andreev-Andrievskiy, Anfisa Popova, Richard Boyle, Jeffrey Alberts, Boris Shenkman, Olga Vinogradova, Oleg Dolgov, Konstantin Anokhin, Darya Tsvirkun, Pavel Soldatov, Tatyana Nemirovskaya, Eugeniy Ilyin, Vladimir Sychev",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/
"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21","Elizabeth A Blaber, Natalya Dvorochkin, Chialing Lee, Joshua S Alwood, Rukhsana Yousuf, Piero Pianetta, Ruth K Globus, Brendan P Burns, Eduardo A C Almeida",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/
Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health,"Nelson Adolfo López Garzón, María Virginia Pinzón-Fernández, Jhan S Saavedra T, Humberto A Nati-Castillo, Marlon Arias-Intriago, Camila Salazar-Santoliva, Juan S Izquierdo-Condoy",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/
Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,"Takanobu Mashiko, Koji Kanayama, Natsumi Saito, Takako Shirado, Rintaro Asahi, Masanori Mori, Kotaro Yoshimura",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,"Macarena Parra, Jimmy Jung, Travis D Boone, Luan Tran, Elizabeth A Blaber, Mark Brown, Matthew Chin, Tori Chinn, Jacob Cohen, Robert Doebler, Dzung Hoang, Elizabeth Hyde, Matthew Lera, Louie T Luzod, Mark Mallinson, Oana Marcu, Youssef Mohamedaly, Antonio J Ricco, Kathleen Rubins, Gregory D Sgarlato, Rafael O Talavera, Peter Tong, Eddie Uribe, Jeffrey Williams, Diana Wu, Rukhsana Yousuf, Charles S Richey, Julie Schonfeld, Eduardo A C Almeida",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,"Akhilesh Kumar, Candice G T Tahimic, Eduardo A C Almeida, Ruth K Globus",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,"Joshua S Alwood, Luan H Tran, Ann-Sofie Schreurs, Yasaman Shirazi-Fard, Akhilesh Kumar, Diane Hilton, Candice G T Tahimic, Ruth K Globus",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions,"Joshua S Alwood, April E Ronca, Richard C Mains, Mark J Shelhamer, Jeffrey D Smith, Thomas J Goodwin",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,"Megan M Pendleton, Saghi Sadoughi, Alfred Li, Grace D O'Connell, Joshua S Alwood, Tony M Keaveny",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/
Effects ofex vivoIonizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae,"Megan M Pendleton, Shannon R Emerzian, Jennifer Liu, Simon Y Tang, Grace D O’Connell, Joshua S Alwood, Tony M Keaveny",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/
Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,"Catherine Moorwood, Anastassios Philippou, Janelle Spinazzola, Benjamin Keyser, Edward J Macarak, Elisabeth R Barton",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/
5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth,"Jianling Peng, Hilal Ilarslan, Eve Syrkin Wurtele, Diane C Bassham",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/
"TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis1,[W],[OA]","Sang-Jin Kim, Diane C Bassham",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/
